Photo No.,Date,Time,Lat_dec,Lon_dec,Alt above the Sea level,Alt above launch point,Alt above ground,Banking angle,Tangage,Azimuth,GPS Course,Speed,GPS Speed,Camera position,Species,Number
DSC06212.JPG,16.07.2020,02:34:47,45.759441,61.212215,53.7,0.4,0.0,-0.700,4.000,75.000,76.200,0.000,0.000,right,,
DSC06213.JPG,16.07.2020,02:34:50,45.759441,61.212215,53.8,0.5,0.0,-1.600,2.800,75.000,75.600,0.000,0.000,right,,
DSC06214.JPG,16.07.2020,02:34:54,45.759441,61.212219,53.9,0.2,0.0,0.100,1.300,76.000,75.700,0.000,0.000,right,,
DSC06215.JPG,16.07.2020,02:37:42,45.760193,61.213963,86.7,37.9,33.0,-4.700,9.200,74.000,76.900,82.800,66.600,right,,
DSC06216.JPG,16.07.2020,02:37:52,45.760773,61.216152,141.4,91.5,87.7,22.400,3.300,85.000,74.600,86.040,62.280,right,,
DSC06217.JPG,16.07.2020,02:38:02,45.759892,61.218388,148.3,95.6,94.6,21.100,4.000,162.000,162.300,94.320,99.000,right,,
DSC06218.JPG,16.07.2020,02:38:12,45.757423,61.217400,166.0,113.9,112.3,25.700,7.000,227.000,220.300,81.000,115.920,right,,
DSC06219.JPG,16.07.2020,02:38:22,45.756245,61.213333,183.2,131.7,129.5,13.700,9.800,297.000,273.900,84.960,127.440,right,,
DSC06220.JPG,16.07.2020,02:38:32,45.757500,61.209679,199.2,145.5,145.5,17.900,5.200,10.000,327.800,88.200,103.680,right,,
DSC06221.JPG,16.07.2020,02:38:42,45.759178,61.209862,201.0,146.0,147.3,22.600,4.900,88.000,68.200,83.520,56.520,right,,
DSC06222.JPG,16.07.2020,02:38:52,45.759090,61.211784,219.6,168.5,165.9,2.500,3.500,91.000,88.000,80.640,44.280,right,,
DSC06223.JPG,16.07.2020,02:39:02,45.759109,61.213467,243.9,191.6,190.2,-7.400,5.100,78.000,74.000,84.600,49.320,right,,
DSC06224.JPG,16.07.2020,02:39:12,45.759872,61.215057,255.6,201.6,201.9,-1.500,0.900,64.000,46.600,89.640,57.960,right,,
DSC06225.JPG,16.07.2020,02:39:22,45.760513,61.216702,253.6,198.7,199.9,3.500,4.000,116.000,116.900,87.120,60.480,right,,
DSC06226.JPG,16.07.2020,02:43:18,45.743832,61.260422,284.8,230.4,231.1,0.400,1.900,105.000,118.100,84.960,59.760,right,,
DSC06227.JPG,16.07.2020,02:43:23,45.743473,61.261375,284.8,230.2,231.1,0.100,2.100,106.000,117.700,85.320,61.200,right,,
DSC06228.JPG,16.07.2020,02:43:28,45.743092,61.262344,284.2,229.9,230.5,0.300,2.600,106.000,118.600,85.320,62.280,right,,
DSC06229.JPG,16.07.2020,02:43:33,45.742702,61.263302,283.6,229.0,229.9,0.200,3.100,107.000,120.400,84.600,61.200,right,,
DSC06230.JPG,16.07.2020,02:43:38,45.742310,61.264233,283.9,229.7,230.2,-0.500,2.700,107.000,120.500,84.600,60.480,right,,
DSC06231.JPG,16.07.2020,02:43:43,45.741917,61.265160,284.1,229.9,230.4,-0.600,2.400,106.000,118.700,84.960,60.480,right,,
DSC06232.JPG,16.07.2020,02:43:48,45.741539,61.266106,284.4,230.7,230.7,-0.300,2.000,106.000,118.500,84.960,61.200,right,,
DSC06233.JPG,16.07.2020,02:43:53,45.741169,61.267078,284.1,229.9,230.4,0.100,2.400,106.000,117.900,85.680,62.640,right,,
